,steps_to_extinguishment,Run,Extinguished,On Fire,Step
0,1.0,0,439,0.1457575757575766,40
1,1.0,1,883,0.21323232323232452,53
2,1.0,2,410,0.11121212121212186,39
3,1.0,3,761,0.18949494949495063,55
4,1.0,4,668,0.16434343434343532,50
5,1.0,5,1006,0.3246464646464666,65
6,1.0,6,364,0.10474747474747535,34
7,1.0,7,625,0.16474747474747573,52
8,1.0,8,622,0.1572727272727282,46
9,1.0,9,640,0.17050505050505152,45
10,1.0,10,345,0.09636363636363691,33
11,1.0,11,879,0.21656565656565788,56
12,1.0,12,588,0.14585858585858671,45
13,1.0,13,655,0.18040404040404148,55
14,1.0,14,356,0.10383838383838444,41
15,1.0,15,969,0.262424242424244,72
16,1.0,16,556,0.14373737373737458,46
17,1.0,17,536,0.13060606060606136,44
18,1.0,18,354,0.09676767676767732,30
19,1.0,19,577,0.15848484848484942,50
20,1.0,20,855,0.19464646464646582,59
21,1.0,21,272,0.08474747474747522,29
22,1.0,22,760,0.19626262626262744,60
23,1.0,23,659,0.18262626262626372,51
24,1.0,24,880,0.26484848484848644,70
25,1.0,25,873,0.23838383838383984,73
26,1.0,26,700,0.1687878787878798,60
27,1.0,27,378,0.10444444444444505,35
28,1.0,28,769,0.1944444444444456,57
29,1.0,29,741,0.1817171717171728,53
30,1.0,30,695,0.1563636363636373,53
31,1.0,31,974,0.2550505050505066,60
32,1.0,32,772,0.22575757575757713,59
33,1.0,33,402,0.10565656565656627,39
34,1.0,34,1423,0.36222222222222444,76
35,1.0,35,827,0.251515151515153,68
36,1.0,36,350,0.10323232323232383,36
37,1.0,37,435,0.11212121212121277,42
38,1.0,38,278,0.0896969696969702,27
39,1.0,39,630,0.17313131313131416,57
40,1.0,40,482,0.1264646464646472,42
41,1.0,41,473,0.11777777777777847,40
42,1.0,42,463,0.12060606060606131,39
43,1.0,43,740,0.18363636363636474,51
44,1.0,44,454,0.12767676767676842,38
45,1.0,45,493,0.12565656565656638,37
46,1.0,46,476,0.12242424242424314,43
47,1.0,47,595,0.16767676767676867,49
48,1.0,48,863,0.18636363636363748,64
49,1.0,49,801,0.26595959595959756,76
50,2.0,50,1422,0.9431313131310756,146
51,2.0,51,1377,0.9556565656563213,127
52,2.0,52,1287,0.9759595959593406,135
53,2.0,53,1354,0.9347474747472417,131
54,2.0,54,1440,0.9730303030300492,135
55,2.0,55,1481,0.9714141414138885,138
56,2.0,56,1074,0.8717171717169729,115
57,2.0,57,1501,0.9740404040401497,149
58,2.0,58,1310,0.9478787878785477,145
59,2.0,59,1230,0.9674747474744967,117
60,2.0,60,1310,0.9745454545451999,121
61,2.0,61,1305,0.9381818181815833,129
62,2.0,62,1349,0.9456565656563267,130
63,2.0,63,1442,0.9613131313128839,143
64,2.0,64,1316,0.9586868686866227,138
65,2.0,65,1465,0.9730303030300492,143
66,2.0,66,1324,0.8668686868684907,126
67,2.0,67,1273,0.9689898989896474,125
68,2.0,68,1465,0.9862626262623653,132
69,2.0,69,1327,0.9268686868684581,136
70,2.0,70,1322,0.9516161616159194,123
71,2.0,71,1531,0.9414141414139048,144
72,2.0,72,1362,0.9625252525250044,130
73,2.0,73,1163,0.9697979797977277,119
74,2.0,74,1378,0.9478787878785477,130
75,2.0,75,1339,0.9513131313128893,135
76,2.0,76,1376,0.9778787878785314,128
77,2.0,77,1386,0.9624242424239944,145
78,2.0,78,1293,0.9282828282825988,132
79,2.0,79,1380,0.957272727272482,138
80,2.0,80,1360,0.9485858585856181,127
81,2.0,81,1481,0.9810101010098429,143
82,2.0,82,1324,0.9578787878785423,132
83,2.0,83,1354,0.9452525252522865,122
84,2.0,84,1305,0.9647474747472254,132
85,2.0,85,1378,0.9744444444441899,126
86,2.0,86,1326,0.9715151515148985,126
87,2.0,87,1405,0.9886868686866064,136
88,2.0,88,1360,0.9765656565654008,132
89,2.0,89,1209,0.9138383838381622,118
90,2.0,90,1380,0.9762626262623707,139
91,2.0,91,1244,0.959494949494703,113
